date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0426;0.00303031;0.0229925;0.00086613;0.0412
0.0427;0.00302801;0.0229925;0.00086843;0.0413
0.0428;0.00302571;0.0229925;0.00087073;0.0414
0.0429;0.00302341;0.0229925;0.00087303;0.0415
0.043;0.00302112;0.0229925;0.00087532;0.0416
0.0431;0.00301882;0.0229925;0.00087762;0.0417
0.0432;0.00301652;0.0229925;0.00087992;0.0418
0.0433;0.00301422;0.0229925;0.00088222;0.0419
0.0434;0.00301192;0.0229925;0.00088452;0.042
0.0435;0.00300962;0.0229925;0.00088682;0.0421
0.0436;0.00300732;0.0229925;0.00088912;0.0422
0.0437;0.00300502;0.0229925;0.00089142;0.0423
0.0438;0.00300272;0.0229925;0.00089372;0.0424
0.0439;0.00300042;0.0229925;0.00089602;0.0425
0.044;0.00299812;0.0229925;0.00089832;0.0426
0.0441;0.00299582;0.0229847;0.00090062;0.0427
0.0442;0.00299352;0.0229862;0.00090292;0.0428
0.0443;0.00299123;0.0229915;0.00090521;0.0429
0.0444;0.00298893;0.0229914;0.00090751;0.043
0.0445;0.00298663;0.0229915;0.00090981;0.0431
0.0446;0.00298433;0.0229916;0.00091211;0.0432
0.0447;0.00298203;0.0229917;0.00091441;0.0433
0.0448;0.00297973;0.0229917;0.00091671;0.0434
0.0449;0.00297743;0.0229917;0.00091901;0.0435
0.045;0.00297513;0.0229918;0.00092131;0.0436
0.0451;0.00297283;0.0229918;0.00092361;0.0437
0.0452;0.00297053;0.0229918;0.00092591;0.0438
0.0453;0.00296823;0.0229918;0.00092821;0.0439
0.0454;0.00296593;0.0229918;0.00093051;0.044
0.0455;0.00296363;0.0229919;0.00093281;0.0441
0.0456;0.00296134;0.0229919;0.0009351;0.0442
0.0457;0.00295904;0.0229919;0.0009374;0.0443
0.0458;0.00295674;0.0229919;0.0009397;0.0444
0.0459;0.00295444;0.0229919;0.000942;0.0445
0.046;0.00295214;0.0229919;0.0009443;0.0446
0.0461;0.00294984;0.0229919;0.0009466;0.0447
0.0462;0.00294754;0.0229919;0.0009489;0.0448
0.0463;0.00294524;0.0229919;0.0009512;0.0449
0.0464;0.00294294;0.0229919;0.0009535;0.045
0.0465;0.00294064;0.0229919;0.0009558;0.0451
0.0466;0.00293834;0.0229919;0.0009581;0.0452
0.0467;0.00293605;0.0229919;0.00096039;0.0453
0.0468;0.00293375;0.0229919;0.00096269;0.0454
0.0469;0.00293145;0.0229919;0.00096499;0.0455
0.047;0.00292915;0.0229919;0.00096729;0.0456
0.0471;0.00292685;0.0229919;0.00096959;0.0457
0.0472;0.00292455;0.0229919;0.00097189;0.0458
0.0473;0.00292225;0.0229919;0.00097419;0.0459
0.0474;0.00291995;0.0229919;0.00097649;0.046
0.0475;0.00291765;0.0229919;0.00097879;0.0461
0.0476;0.00291535;0.0229919;0.00098109;0.0462
0.0477;0.00291305;0.0229919;0.00098339;0.0463
0.0478;0.00291075;0.0229919;0.00098569;0.0464
0.0479;0.00290846;0.0229919;0.00098798;0.0465
