Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.0636,0.00309144,0.0231739
0.0637,0.00308912,0.0231661
0.0638,0.00308681,0.0231585
0.0639,0.00308449,0.0231511
0.064,0.00308218,0.023144
0.0641,0.00307986,0.023137
0.0642,0.00307755,0.0231303
0.0643,0.00307524,0.0231238
0.0644,0.00307292,0.0231175
0.0645,0.00307061,0.0231113
0.0646,0.0030683,0.0231054
0.0647,0.00306599,0.0230996
0.0648,0.00306368,0.0230941
0.0649,0.00306137,0.0230887
0.065,0.00305906,0.0230834
0.0651,0.00305676,0.0230783
0.0652,0.00305445,0.0230734
0.0653,0.00305214,0.0230686
0.0654,0.00304983,0.023064
0.0655,0.00304753,0.0230595
0.0656,0.00304522,0.0230551
0.0657,0.00304292,0.0230509
0.0658,0.00304061,0.0230468
0.0659,0.00303831,0.0230429
0.066,0.003036,0.023039
0.0661,0.0030337,0.0230353
0.0662,0.0030314,0.0230317
0.0663,0.00302909,0.0230282
0.0664,0.00302679,0.0230248
0.0665,0.00302449,0.0230215
0.0666,0.00302219,0.0230183
0.0667,0.00301988,0.0230152
0.0668,0.00301758,0.0230122
0.0669,0.00301528,0.0230093
0.067,0.00301298,0.0230065
0.0671,0.00301068,0.0230037
0.0672,0.00300838,0.0230011
0.0673,0.00300608,0.0229985
0.0674,0.00300378,0.022996
0.0675,0.00300148,0.0229936
0.0676,0.00299918,0.0229913
0.0677,0.00299688,0.022989
0.0678,0.00299458,0.0229868
0.0679,0.00299229,0.0229847
0.068,0.00298999,0.0229826
0.0681,0.00298769,0.0229806
0.0682,0.00298539,0.0229786
0.0683,0.00298309,0.0229768
0.0684,0.0029808,0.0229749
0.0685,0.0029785,0.0229732
0.0686,0.0029762,0.0229714
0.0687,0.0029739,0.0229698
0.0688,0.00297161,0.0229682
0.0689,0.00296931,0.0229666
0.069,0.00296701,0.0229651
0.0691,0.00296472,0.0229636
0.0692,0.00296242,0.0229622
0.0693,0.00296013,0.0229608
0.0694,0.00295783,0.0229594
0.0695,0.00295553,0.0229581
0.0696,0.00295324,0.0229569
0.0697,0.00295094,0.0229557
0.0698,0.00294865,0.0229545
0.0699,0.00294635,0.0229533
0.07,0.00294406,0.0229522
0.0701,0.00294176,0.0229511
