date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
2.01,-0.0991147,0.23202,0.253665,0.26282,-0.0300789
2.02,-0.119059,0.197682,0.226287,0.243637,-0.0432506
2.03,-0.144164,0.19292,0.207941,0.22887,-0.0482949
2.04,-0.164967,0.180155,0.204581,0.193768,-0.0616319
2.05,-0.174526,0.174594,0.196542,0.189849,-0.0840851
2.06,-0.182129,0.178627,0.19468,0.169347,-0.119554
2.07,-0.191942,0.187202,0.196532,0.166648,-0.140785
2.08,-0.183927,0.192829,0.217679,0.17976,-0.155554
2.09,-0.17785,0.201679,0.241061,0.196817,-0.173386
2.1,-0.162996,0.213947,0.27429,0.25055,-0.172361
2.11,-0.136951,0.219511,0.340575,0.291444,-0.161925
2.12,-0.116947,0.227148,0.406454,0.327698,-0.141282
2.13,-0.0702814,0.248343,0.474905,0.348552,-0.114532
2.14,-0.0341116,0.264781,0.533624,0.36676,-0.0735289
2.15,0.000793736,0.270898,0.589294,0.377713,-0.0276638
2.16,0.0326903,0.244666,0.664734,0.395636,0.0174902
2.17,0.0276361,0.206817,0.662976,0.388535,0.0422086
2.18,0.0319408,0.176384,0.592767,0.378284,0.0519275
2.19,0.01277,0.13329,0.463727,0.330458,0.0602538
2.2,-0.00905064,0.0859527,0.337914,0.27527,0.0355105
2.21,-0.05338,0.0259907,0.247109,0.20881,-0.0192432
2.22,-0.0970308,-0.0370687,0.130661,0.123266,-0.0835543
2.23,-0.135429,-0.0965652,0.0171354,0.0346533,-0.148299
2.24,-0.178433,-0.153722,-0.03273,-0.0564471,-0.221221
2.25,-0.226407,-0.21222,-0.104802,-0.132989,-0.294009
2.26,-0.27101,-0.268182,-0.15998,-0.217307,-0.360855
2.27,-0.313411,-0.321408,-0.19155,-0.268386,-0.42455
2.28,-0.349672,-0.367013,-0.248992,-0.346963,-0.476078
2.29,-0.381369,-0.396642,-0.322705,-0.398783,-0.487265
2.3,-0.400405,-0.419592,-0.334824,-0.426301,-0.457516
2.31,-0.395814,-0.393948,0.348702,-0.0554084,-0.441297
2.32,-0.384379,-0.353488,0.592629,0.210879,-0.418485
2.33,-0.362947,-0.302041,0.805486,0.334114,-0.406194
2.34,-0.319976,-0.216787,0.909161,0.464061,-0.410629
2.35,-0.278888,-0.136684,1.05349,0.553072,-0.393349
2.36,-0.241694,-0.0466073,1.1222,0.541519,-0.386776
2.37,-0.206375,-0.01814,1.03697,0.329768,-0.407162
2.38,-0.182931,0.00208622,0.862901,0.107292,-0.429958
2.39,-0.141184,0.00979447,0.796611,0.0465186,-0.424104
2.4,-0.109575,0.0340036,0.77534,-0.00274811,-0.422439
2.41,-0.0651698,0.0680033,0.763022,-0.0251231,-0.401663
2.42,-0.0273189,0.136942,0.773435,-0.00486421,-0.368875
2.43,0.000159516,0.200928,0.824401,0.0257081,-0.338868
2.44,0.0293957,0.269799,0.845124,0.081605,-0.291678
2.45,0.0468692,0.302965,0.843815,0.0841008,-0.252038
2.46,0.0595355,0.307643,0.772794,0.0899094,-0.213432
2.47,0.0696209,0.320754,0.692807,0.0815029,-0.190613
2.48,0.0680966,0.323425,0.617289,0.0763152,-0.152098
2.49,0.0620268,0.302799,0.536853,0.065172,-0.127419
2.5,0.0399755,0.262347,0.488384,0.0590235,-0.105384
2.51,0.0130267,0.229606,0.432134,0.0377121,-0.087968
2.52,-0.0102196,0.192523,0.389044,0.0320587,-0.0816552
2.53,-0.0323062,0.162697,0.361691,0.0213057,-0.0841635
2.54,-0.0680695,0.123679,0.333908,0.0140682,-0.0886419
2.55,-0.100953,0.0918239,0.314351,-0.0104675,-0.0995184
2.56,-0.133843,0.0523719,0.28525,-0.0315982,-0.116968
2.57,-0.168433,0.0188107,0.2335,-0.059377,-0.1379
2.58,-0.209719,-0.0108396,0.185499,-0.0998123,-0.167618
2.59,-0.248203,-0.037337,0.131459,-0.133098,-0.203739
2.6,-0.280216,-0.0662076,0.0872031,-0.181426,-0.244794
2.61,-0.3095,-0.0913414,0.0489946,-0.225957,-0.286846
2.62,-0.336248,-0.106324,0.0225495,-0.264392,-0.332642
2.63,-0.358963,-0.110217,-0.0324136,-0.301976,-0.377791
2.64,-0.327112,-0.106774,-0.0563648,-0.333213,-0.425477
2.65,-0.266634,-0.0737353,-0.0258121,-0.3503,-0.471275
2.66,-0.219269,-0.0514747,0.0622272,-0.369033,-0.51616
2.67,-0.155662,-0.019711,0.136613,-0.37644,-0.556093
2.68,-0.0647733,0.0117815,0.215721,-0.358831,-0.587697
2.69,-0.0603782,0.0594438,0.242841,-0.295361,-0.615627
2.7,-0.0595751,0.0924456,0.269877,-0.208505,-0.607583
2.71,-0.0535402,0.109272,0.294969,-0.102578,-0.568612
2.72,-0.048862,0.124652,0.299369,-0.00388068,-0.498517
2.73,-0.0557571,0.126024,0.279821,0.0343111,-0.372913
2.74,-0.0662739,0.105163,0.252479,0.0330576,-0.27304
2.75,-0.090518,0.0683769,0.226071,0.0236823,-0.236079
2.76,-0.129586,0.0276196,0.178377,-0.00360575,-0.229211
2.77,-0.171479,-0.0250902,0.129442,-0.0282599,-0.24664
2.78,-0.214034,-0.0864216,0.0895795,-0.0473049,-0.273032
2.79,-0.262266,-0.14894,0.0480499,-0.0712107,-0.29352
2.8,-0.306501,-0.205098,0.00469774,-0.0833595,-0.309919
2.81,-0.34944,-0.268993,-0.0276945,-0.0901469,-0.314594
2.82,-0.366128,-0.307191,-0.0637905,-0.0902293,-0.317282
2.83,-0.357371,-0.316972,-0.066368,-0.091326,-0.331222
2.84,-0.327931,-0.256862,0.0159421,-0.0868075,-0.330827
2.85,-0.289538,-0.180841,0.153133,-0.0636157,-0.319381
2.86,-0.225322,-0.0920229,0.277669,-0.020954,-0.273589
2.87,-0.14391,-0.0325419,0.344023,0.0364904,-0.209201
2.88,-0.039587,0.0477645,0.33878,0.0813264,-0.137957
2.89,0.0401391,0.129867,0.355441,0.130898,-0.0720583
2.9,0.108728,0.215748,0.39114,0.186909,-0.0165672
2.91,0.161374,0.25989,0.410745,0.228677,0.0222868
2.92,0.193992,0.306296,0.425155,0.254242,0.0495892
2.93,0.202361,0.324097,0.397975,0.2629,0.0565839
2.94,0.175233,0.303671,0.351533,0.249342,0.0534097
2.95,0.130776,0.244732,0.280901,0.222843,0.0345769
2.96,0.0654837,0.178172,0.205911,0.193253,0.00595599
2.97,-0.00268258,0.0967612,0.130609,0.162986,-0.0289147
2.98,-0.0724354,0.0174163,0.0624666,0.128119,-0.0658953
2.99,-0.143014,-0.0675173,0.00864076,0.0993755,-0.104482
3,-0.206508,-0.137636,-0.0426236,0.0737392,-0.144121
3.01,-0.258155,-0.203607,-0.0797243,0.0582116,-0.185684
3.02,-0.311602,-0.249616,-0.112539,0.0342825,-0.225951
3.03,-0.37363,-0.274087,-0.125163,0.0179798,-0.269257
3.04,-0.435209,-0.226157,-0.145904,0.0132992,-0.30852
3.05,-0.478566,-0.145576,-0.159653,0.003935,-0.350567
3.06,-0.511145,-0.062497,-0.173576,0.00260864,-0.386609
3.07,-0.505494,0.0461523,-0.181245,-0.0115798,-0.433882
3.08,-0.472364,0.0941678,-0.187792,-0.0374633,-0.471777
3.09,-0.359112,0.117387,-0.187731,-0.0703712,-0.52417
3.1,-0.257859,0.135185,-0.190088,-0.100205,-0.564759
3.11,-0.208108,0.152723,-0.193998,-0.12266,-0.613983
