date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
3,0.0316223,0.200092,0.0414217,-0.145705,-0.036496
3.01,0.0321582,0.191704,0.00940098,-0.164929,-0.0410716
3.02,0.0345033,0.193979,-0.0199212,-0.169232,-0.0457677
3.03,0.035395,0.175644,-0.0474938,-0.182299,-0.0471452
3.04,0.0396158,0.111258,-0.0707521,-0.189081,-0.0503695
3.05,0.0411606,0.0410274,-0.0917388,-0.189799,-0.0519213
3.06,0.0383485,-0.0168851,-0.110241,-0.196468,-0.0545345
3.07,0.0229147,-0.0799554,-0.116892,-0.196354,-0.0539973
3.08,-0.0261856,-0.0979387,-0.123431,-0.200849,-0.0567131
3.09,-0.0740433,-0.104439,-0.116511,-0.19715,-0.057139
3.1,-0.0739966,-0.0936824,-0.109471,-0.193211,-0.0573706
3.11,-0.073847,-0.0804204,-0.103121,-0.196876,-0.0616591
3.12,-0.0641337,-0.0561526,-0.0829182,-0.195419,-0.0636167
3.13,-0.0510067,-0.036428,-0.058329,-0.192633,-0.0644415
3.14,-0.0348947,-0.0213327,-0.0510631,-0.192825,-0.0647221
3.15,-0.00827967,0.00422608,-0.0401551,-0.189053,-0.0640107
3.16,0.00356035,0.0275206,-0.0272498,-0.157256,-0.0675662
3.17,0.0148719,0.0508772,-0.0207026,-0.146954,-0.0704798
3.18,0.0357606,0.0718629,-0.0342197,-0.132997,-0.084815
3.19,0.0553501,0.101987,-0.0628312,-0.136709,-0.122436
3.2,0.076151,0.126339,-0.0884571,-0.146074,-0.12849
3.21,0.0651618,0.157517,-0.119473,-0.147906,-0.116067
3.22,0.0907636,0.185341,-0.150859,-0.158295,-0.107117
3.23,0.0626547,0.093035,-0.128329,-0.120706,-0.102153
3.24,0.0444509,0.0507268,-0.0892239,-0.129647,-0.0754732
3.25,0.0367534,0.050244,-0.0834596,-0.119775,-0.0546427
3.26,0.0221447,0.0472519,-0.0957964,-0.129133,-0.0487353
3.27,0.0195485,0.0244682,-0.10295,-0.133838,-0.0419832
3.28,0.0169353,0.0163183,-0.115342,-0.12176,-0.0387605
3.29,0.015562,0.0196962,-0.126218,-0.0951889,-0.0279451
3.3,0.0161389,0.0118846,-0.106623,-0.069627,-0.0152628
3.31,0.0200227,0.0168563,-0.11073,-0.0491948,-0.00649732
3.32,0.0219343,0.0183763,-0.117515,-0.0265553,0.00170114
3.33,0.0227277,0.0334666,-0.118974,-0.0140089,0.00857251
3.34,0.0238767,0.0517971,-0.106078,-0.00389888,0.0112313
3.35,0.0276031,0.0787894,-0.0866954,-0.000844939,0.0131918
3.36,0.0320416,0.104127,-0.0408775,0.000521077,0.0138484
3.37,0.0360472,0.134771,0.0333957,-0.00829874,0.011954
3.38,0.0391567,0.162212,0.146076,-0.0152189,0.00709878
