date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
2.13,0.0660633,-0.702885,-0.895264,-0.621733,-0.253406
2.14,0.0218969,-0.680979,-0.925043,-0.606818,-0.22998
2.15,0.026677,-0.598038,-0.941866,-0.582562,-0.223063
2.16,0.0279023,-0.489833,-0.946066,-0.543109,-0.186144
2.17,0.028794,-0.379505,-0.909068,-0.50179,-0.168972
2.18,0.0315687,-0.265548,-0.879999,-0.455657,-0.151612
2.19,0.0323489,-0.0991817,-0.829134,-0.418927,-0.134674
2.2,0.0180988,0.0676594,-0.783178,-0.39676,-0.122543
2.21,0.0138259,0.146609,-0.529934,-0.370919,-0.118958
2.22,0.0150694,0.192674,-0.0747606,-0.375949,-0.11463
2.23,0.00648769,0.205084,0.108829,-0.356066,-0.111975
2.24,-0.0048645,0.257644,0.25551,-0.364307,-0.108725
2.25,-0.0204911,0.263671,0.366924,-0.345565,-0.107588
2.26,-0.0167819,0.279134,0.407529,-0.310495,-0.10592
2.27,-0.0251608,0.282168,0.461795,-0.25681,-0.114594
2.28,-0.0263901,0.253961,0.479808,-0.171937,-0.120308
2.29,-0.0195521,0.246164,0.510206,-0.0485558,-0.12565
2.3,-0.0199956,0.216172,0.488407,-0.0188818,-0.132328
2.31,-0.0110165,0.221535,0.54117,0.00278838,-0.15287
2.32,-0.0051241,0.21414,0.582975,-0.0653008,-0.16508
2.33,-0.000696545,0.218629,0.526242,-0.0488942,-0.168914
2.34,0.0153222,0.229579,0.501497,-0.0444033,-0.168962
2.35,0.026385,0.255054,0.512304,-0.071498,-0.163339
2.36,0.0426302,0.306083,0.48516,-0.023766,-0.14754
2.37,0.0504924,0.313851,0.487517,-0.00182784,-0.126148
2.38,0.0573311,0.312839,0.431114,0.0709342,-0.0624144
2.39,0.0544166,0.307748,0.404979,0.167015,0.00723887
2.4,0.067236,0.27945,0.487622,0.259769,0.105324
